Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
delete,batch_delete,35779,0,21,26.444031415075884,11,696,0.0,30.114370963746538,0.0,21,24,26,27,36,52,77,100,600,640,700
insert,batch_insert,35778,0,27,37.22740231427134,15,813,0.0,30.113529286478762,0.0,27,30,34,39,63,88,120,160,620,680,810
delete,simple_delete,35736,0,19,24.03993172151332,8,673,0.0,30.078178841232184,0.0,19,20,22,24,34,51,74,96,600,650,670
insert,simple_insert,35736,0,19,28.743591896127153,8,792,0.0,30.078178841232184,0.0,19,22,27,31,54,77,110,130,620,670,790
select,simple_select,225512,0,20,29.45171875554294,9,5790,0.0,189.8083240106322,0.0,20,23,27,31,53,79,110,140,610,680,5800
,Aggregated,368541,0,20,29.321163723981865,8,5790,0.0,310.19258194332184,0.0,20,24,27,31,50,75,110,140,610,670,5800
