Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
delete,batch_delete,1327,0,72,112.87641296156744,36,1465,0.0,4.230106036382223,0.0,72,88,110,120,210,380,550,740,1200,1500,1500
insert,batch_insert,1333,0,78,109.11552888222056,44,1270,0.0,4.249232363600228,0.0,78,92,100,110,160,290,540,750,1100,1300,1300
delete,simple_delete,1317,0,47,80.48063781321184,21,1110,0.0,4.1982288243522135,0.0,47,61,71,82,140,270,500,680,1000,1100,1100
insert,simple_insert,1324,0,35,58.57175226586103,18,993,0.0,4.22054287277322,0.0,35,46,55,65,92,130,410,560,990,990,990
select,simple_select,8166,0,56,128.3746020083272,22,2400,0.0,26.03093134370552,0.0,56,77,97,110,280,600,960,1200,1900,2400,2400
,Aggregated,13467,0,58,113.3947427043885,18,2400,0.0,42.92904144081341,0.0,58,76,92,110,190,470,830,1000,1800,2400,2400
