Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
select,simple_select,280472,0,110,150.5872885706951,26,777,0.0,229.01261562336643,0.0,110,160,210,250,320,370,450,490,560,610,780
,Aggregated,280472,0,110,150.5872885706951,26,777,0.0,229.01261562336643,0.0,110,160,210,250,320,370,450,490,560,610,780
